<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>;<VOL>
SIBN;D;20201211;000000;328.0000000;1524220
SIBN;D;20201214;000000;325.5000000;2240840
SIBN;D;20201215;000000;326.4500000;1084760
SIBN;D;20201216;000000;327.8000000;873700
SIBN;D;20201217;000000;328.0000000;2111640
SIBN;D;20201218;000000;324.4000000;1256040
SIBN;D;20201221;000000;312.8000000;2327780
SIBN;D;20201222;000000;315.7500000;1542300
SIBN;D;20201223;000000;318.0500000;802350
SIBN;D;20201224;000000;319.1000000;642550
SIBN;D;20201225;000000;319.0000000;782280
SIBN;D;20201228;000000;316.9000000;1775010
SIBN;D;20201229;000000;317.1500000;639020
SIBN;D;20201230;000000;316.9500000;1157270
SIBN;D;20210104;000000;322.7500000;1336920
SIBN;D;20210105;000000;323.9000000;871870
SIBN;D;20210106;000000;326.7000000;2252750
SIBN;D;20210108;000000;337.0000000;3120920
SIBN;D;20210111;000000;334.3000000;2440180
SIBN;D;20210112;000000;334.3000000;1661440
SIBN;D;20210113;000000;333.7500000;1540860
SIBN;D;20210114;000000;342.1000000;3478220
SIBN;D;20210115;000000;341.3500000;3069390
SIBN;D;20210118;000000;339.8000000;1264970
SIBN;D;20210119;000000;337.3000000;1103400
SIBN;D;20210120;000000;338.7000000;852270
SIBN;D;20210121;000000;332.3000000;1998540
SIBN;D;20210122;000000;323.5000000;2152070
SIBN;D;20210125;000000;325.2000000;1087440
SIBN;D;20210126;000000;325.8500000;894580
SIBN;D;20210127;000000;322.0000000;975040
SIBN;D;20210128;000000;322.2000000;1067540
SIBN;D;20210129;000000;315.7000000;1789280
SIBN;D;20210201;000000;315.0000000;1027440
SIBN;D;20210202;000000;320.7500000;1817210
SIBN;D;20210203;000000;318.5000000;1263690
SIBN;D;20210204;000000;325.8500000;1933860
SIBN;D;20210205;000000;334.9500000;2992930
SIBN;D;20210208;000000;343.1000000;2112590
SIBN;D;20210209;000000;339.5000000;2369910
SIBN;D;20210210;000000;333.0000000;1444740
SIBN;D;20210211;000000;331.3000000;2022810
SIBN;D;20210212;000000;339.0000000;2054400
SIBN;D;20210215;000000;344.2000000;2296930
SIBN;D;20210216;000000;346.6000000;2503550
SIBN;D;20210217;000000;347.6500000;3309880
SIBN;D;20210218;000000;338.1000000;2200780
SIBN;D;20210219;000000;338.2000000;1561100
SIBN;D;20210220;000000;340.0000000;397650
SIBN;D;20210222;000000;340.3500000;953250
SIBN;D;20210224;000000;344.0000000;1481790
SIBN;D;20210225;000000;348.9500000;2152580
SIBN;D;20210226;000000;339.0000000;1520490
SIBN;D;20210301;000000;343.8000000;873930
SIBN;D;20210302;000000;346.7000000;1759040
SIBN;D;20210303;000000;343.9500000;1362870
SIBN;D;20210304;000000;346.9000000;1114220
SIBN;D;20210305;000000;359.3000000;4840160
SIBN;D;20210309;000000;377.0000000;5064110
SIBN;D;20210310;000000;372.4000000;2741690
SIBN;D;20210311;000000;378.3500000;2325130
SIBN;D;20210312;000000;381.5000000;2647190
SIBN;D;20210315;000000;384.5000000;2558880
SIBN;D;20210316;000000;382.8000000;1432300
SIBN;D;20210317;000000;373.5000000;1651970
SIBN;D;20210318;000000;369.3000000;2466950
SIBN;D;20210319;000000;369.1500000;2008470
SIBN;D;20210322;000000;372.2500000;1022600
SIBN;D;20210323;000000;367.5000000;1511500
SIBN;D;20210324;000000;370.4500000;1549000
SIBN;D;20210325;000000;365.2000000;688560
SIBN;D;20210326;000000;371.0000000;856370
SIBN;D;20210329;000000;372.1500000;1109850
SIBN;D;20210330;000000;377.2000000;1260400
SIBN;D;20210331;000000;370.0000000;1986840
SIBN;D;20210401;000000;368.1500000;1624290
SIBN;D;20210402;000000;371.6500000;560830
SIBN;D;20210405;000000;371.8500000;428130
SIBN;D;20210406;000000;365.5500000;1642140
SIBN;D;20210407;000000;362.5000000;2168660
SIBN;D;20210408;000000;364.0000000;840960
SIBN;D;20210409;000000;355.2000000;1847010
SIBN;D;20210412;000000;357.0000000;1107510
SIBN;D;20210413;000000;354.0500000;1219270
SIBN;D;20210414;000000;359.0000000;2473840
SIBN;D;20210415;000000;354.0000000;2440980
SIBN;D;20210416;000000;358.0000000;1612630
SIBN;D;20210419;000000;352.8500000;940060
SIBN;D;20210420;000000;354.5000000;2173570
SIBN;D;20210421;000000;361.5500000;1326690
SIBN;D;20210422;000000;358.0000000;2031060
SIBN;D;20210423;000000;364.4500000;3181070
SIBN;D;20210426;000000;365.5000000;1192860
SIBN;D;20210427;000000;363.0000000;1231020
SIBN;D;20210428;000000;356.9000000;1301760
SIBN;D;20210429;000000;363.2500000;1593710
SIBN;D;20210430;000000;361.2000000;1153620
SIBN;D;20210504;000000;365.0000000;788550
SIBN;D;20210505;000000;368.6000000;1003440
SIBN;D;20210506;000000;370.5000000;1096220
SIBN;D;20210507;000000;374.2500000;720570
SIBN;D;20210510;000000;373.0500000;727780
SIBN;D;20210511;000000;367.2000000;1186260
SIBN;D;20210512;000000;370.5000000;719830
SIBN;D;20210513;000000;370.0000000;785210
SIBN;D;20210514;000000;373.1000000;599600
SIBN;D;20210517;000000;373.2000000;613010
SIBN;D;20210518;000000;377.0000000;1126630
SIBN;D;20210519;000000;366.3000000;1458270
SIBN;D;20210520;000000;365.7000000;999100
SIBN;D;20210521;000000;373.5000000;832260
SIBN;D;20210524;000000;378.0000000;876690
SIBN;D;20210525;000000;377.4500000;1283850
SIBN;D;20210526;000000;382.5500000;1233040
SIBN;D;20210527;000000;379.3500000;636530
SIBN;D;20210528;000000;379.0500000;1188710
SIBN;D;20210531;000000;383.3500000;549880
SIBN;D;20210601;000000;393.0500000;1470540
SIBN;D;20210602;000000;399.9000000;2295290
SIBN;D;20210603;000000;406.6500000;1597090
SIBN;D;20210604;000000;412.3000000;2332380
SIBN;D;20210607;000000;415.0500000;1980470
SIBN;D;20210608;000000;406.5500000;1282490
SIBN;D;20210609;000000;409.0000000;892410
SIBN;D;20210610;000000;410.2500000;931220
SIBN;D;20210611;000000;410.0000000;666100
SIBN;D;20210614;000000;415.0000000;581240
SIBN;D;20210615;000000;416.1000000;1847640
SIBN;D;20210616;000000;424.0000000;1559550
SIBN;D;20210617;000000;425.7000000;1011080
SIBN;D;20210618;000000;420.8000000;1363180
SIBN;D;20210621;000000;422.3000000;999460
SIBN;D;20210622;000000;435.7500000;1548010
SIBN;D;20210623;000000;435.5000000;1588800
SIBN;D;20210624;000000;430.6500000;1222620
SIBN;D;20210625;000000;430.0500000;636670
SIBN;D;20210628;000000;430.0000000;899970
SIBN;D;20210629;000000;424.7500000;1379130
SIBN;D;20210630;000000;434.0000000;2777780
SIBN;D;20210701;000000;442.9000000;2326790
SIBN;D;20210702;000000;447.1000000;2179240
SIBN;D;20210705;000000;443.9000000;1098890
SIBN;D;20210706;000000;449.9000000;1142040
SIBN;D;20210707;000000;450.0000000;843480
SIBN;D;20210708;000000;440.0500000;1215540
SIBN;D;20210709;000000;440.0000000;984370
SIBN;D;20210712;000000;435.0500000;1179900
SIBN;D;20210713;000000;436.0000000;771060
SIBN;D;20210714;000000;439.5000000;1138040
SIBN;D;20210715;000000;433.9000000;543460
SIBN;D;20210716;000000;428.4000000;535660
SIBN;D;20210719;000000;414.7500000;1416220
SIBN;D;20210720;000000;421.4500000;1186400
SIBN;D;20210721;000000;420.2500000;964140
SIBN;D;20210722;000000;423.0000000;439340
SIBN;D;20210723;000000;421.8000000;438250
SIBN;D;20210726;000000;421.0000000;422850
SIBN;D;20210727;000000;422.7000000;547360
SIBN;D;20210728;000000;426.2000000;374100
SIBN;D;20210729;000000;428.4500000;548950
SIBN;D;20210730;000000;425.3500000;607810
SIBN;D;20210802;000000;422.3500000;658530
SIBN;D;20210803;000000;426.0000000;791360
SIBN;D;20210804;000000;424.4500000;542090
SIBN;D;20210805;000000;421.6500000;842640
SIBN;D;20210806;000000;427.4000000;917990
SIBN;D;20210809;000000;421.1500000;678560
SIBN;D;20210810;000000;425.7000000;1394230
SIBN;D;20210811;000000;429.8000000;631410
SIBN;D;20210812;000000;429.5500000;407880
SIBN;D;20210813;000000;426.6500000;424000
SIBN;D;20210816;000000;428.8000000;501290
SIBN;D;20210817;000000;426.5000000;672160
SIBN;D;20210818;000000;427.2000000;258470
SIBN;D;20210819;000000;415.8000000;1248850
SIBN;D;20210820;000000;417.8000000;442290
SIBN;D;20210823;000000;425.5000000;616000
SIBN;D;20210824;000000;423.9000000;737460
SIBN;D;20210825;000000;428.0500000;599550
SIBN;D;20210826;000000;420.7000000;957760
SIBN;D;20210827;000000;425.4500000;310260
SIBN;D;20210830;000000;429.4500000;668510
SIBN;D;20210831;000000;426.1000000;674030
SIBN;D;20210901;000000;430.0000000;381250
SIBN;D;20210902;000000;431.7000000;406850
SIBN;D;20210903;000000;438.1000000;820140
SIBN;D;20210906;000000;437.2000000;710340
SIBN;D;20210907;000000;430.6500000;2232790
SIBN;D;20210908;000000;430.3000000;846760
SIBN;D;20210909;000000;430.7000000;451000
SIBN;D;20210910;000000;427.3000000;621930
SIBN;D;20210913;000000;436.4000000;635370
SIBN;D;20210914;000000;440.0000000;1136580
SIBN;D;20210915;000000;458.1000000;3534390
SIBN;D;20210916;000000;452.1500000;1003860
SIBN;D;20210917;000000;454.5000000;1316550
SIBN;D;20210920;000000;446.1500000;954890
SIBN;D;20210921;000000;446.9500000;1078100
SIBN;D;20210922;000000;455.7500000;943580
SIBN;D;20210923;000000;462.5000000;1264060
SIBN;D;20210924;000000;463.5000000;1796530
SIBN;D;20210927;000000;473.2500000;1727770
SIBN;D;20210928;000000;477.5500000;3058870
SIBN;D;20210929;000000;481.3000000;1066190
SIBN;D;20210930;000000;473.0000000;1334010
SIBN;D;20211001;000000;477.0000000;858190
SIBN;D;20211004;000000;496.6000000;1703800
SIBN;D;20211005;000000;522.4500000;2736040
SIBN;D;20211006;000000;510.4500000;3591680
SIBN;D;20211007;000000;515.0000000;3316830
SIBN;D;20211008;000000;514.0000000;1637490
SIBN;D;20211011;000000;515.9500000;1623040
SIBN;D;20211012;000000;513.6000000;1155800
SIBN;D;20211013;000000;508.5000000;1316990
SIBN;D;20211014;000000;505.9500000;681450
SIBN;D;20211015;000000;519.0000000;1145990
SIBN;D;20211018;000000;525.0000000;1495090
SIBN;D;20211019;000000;516.2500000;932300
SIBN;D;20211020;000000;520.5000000;606390
SIBN;D;20211021;000000;518.7500000;607480
SIBN;D;20211022;000000;513.8000000;667750
SIBN;D;20211025;000000;518.5000000;816170
SIBN;D;20211026;000000;519.1500000;698130
SIBN;D;20211027;000000;514.7000000;672850
SIBN;D;20211028;000000;513.1000000;1198890
SIBN;D;20211029;000000;505.0000000;716160
SIBN;D;20211101;000000;510.1000000;830750
SIBN;D;20211102;000000;503.0500000;787750
SIBN;D;20211103;000000;490.8500000;891870
SIBN;D;20211105;000000;498.3000000;971320
SIBN;D;20211108;000000;502.8500000;803300
SIBN;D;20211109;000000;492.0000000;698640
SIBN;D;20211110;000000;501.5000000;810240
SIBN;D;20211111;000000;501.3500000;785250
SIBN;D;20211112;000000;500.0000000;802630
SIBN;D;20211115;000000;515.1000000;1415600
SIBN;D;20211116;000000;519.1500000;1761400
SIBN;D;20211117;000000;525.6500000;981040
SIBN;D;20211118;000000;518.8500000;1400020
SIBN;D;20211119;000000;501.1000000;1673850
SIBN;D;20211122;000000;491.5000000;2499820
SIBN;D;20211123;000000;509.5000000;2207450
SIBN;D;20211124;000000;505.4500000;1589450
SIBN;D;20211125;000000;503.9500000;1158180
SIBN;D;20211126;000000;491.9000000;1700670
SIBN;D;20211129;000000;500.2500000;1424370
SIBN;D;20211130;000000;498.0000000;897020
SIBN;D;20211201;000000;515.0000000;2103720
SIBN;D;20211202;000000;518.2500000;1155160
SIBN;D;20211203;000000;526.0000000;1993760
SIBN;D;20211206;000000;522.9500000;1206800
SIBN;D;20211207;000000;525.5000000;1395030
SIBN;D;20211208;000000;522.8000000;940360
SIBN;D;20211209;000000;523.2000000;703920
SIBN;D;20211210;000000;518.9000000;554010
SIBN;D;20211213;000000;512.1000000;757140
SIBN;D;20211214;000000;509.0000000;862380
SIBN;D;20211215;000000;520.0000000;1042580
SIBN;D;20211216;000000;535.8500000;1318160
SIBN;D;20211217;000000;534.4000000;1293910
SIBN;D;20211220;000000;535.4000000;1389820
SIBN;D;20211221;000000;543.9000000;1642180
SIBN;D;20211222;000000;545.9500000;1831740
SIBN;D;20211223;000000;551.5000000;2185260
SIBN;D;20211224;000000;562.0000000;2091680
SIBN;D;20211227;000000;526.2500000;2466790
SIBN;D;20211228;000000;540.7000000;2127030
SIBN;D;20211229;000000;539.0000000;1147290
SIBN;D;20211230;000000;544.8000000;1423550
